User_oc-4,7
User_vls-1,12
User_oc-N,2
User_az-N,73
User_oj-N,1
User_glk-N,5
User_ir-N,3
User_lv-N,83
User_sxu-3,7
User_sxu-2,6
User_sxu-1,7
User_Teng-2,4
User_tr-N,511
User_tl-2,28
User_tl-3,33
User_tl-1,73
User_tl-4,30
User_tl-5,9
User_py-5,21
User_szl-1,9
User_szl-2,6
User_szl-3,3
User_szl-4,3
User_szl-5,1
User_no-N,489
User_no-3,102
User_no-2,322
User_no-1,513
User_no-0,26
User_no-5,18
User_no-4,54
User_kv-1,5
User_en-us-N,1
User_ada-4,6
User_ada-1,24
User_yacc-2,1
User_ada-2,17
User_gag-3,3
User_tl-N,281
User_gag-4,2
User_tr-1,169
User_tr-2,82
User_tr-3,71
User_tr-4,55
User_tr-5,16
User_it-5,50
User_it-4,169
User_mi-0,1
User_mi-1,43
User_mi-2,4
User_mi-3,3
User_mi-4,3
User_sd-2,6
User_sd-1,10
User_Telu-3,2
User_sv-N,909
User_Mong-1,3
User_Egyh-2,1
User_Egyh-1,2
User_Brai-1,10
User_Mong-5,3
User_lt-4,8
User_Brai-4,1
User_Egyh-4,1
User_kl-3,2
User_kl-2,3
User_kl-1,8
User_Thaa-1,1
User_kl-4,4
User_Orkh-2,3
User_nov-1,3
User_Orkh-1,3
User_lam-3,3
User_lam-1,1
User_mdf-4,1
User_Ethi-5,2
User_mdf-2,1
User_kl-N,2
User_mdf-0,1
User_Ethi-1,4
User_Egyp-3,3
User_Egyp-2,2
User_Egyp-1,35
User_prog-N,1
User_Egyp-4,1
User_sv-5,25
User_sv-4,81
User_sv-1,807
User_sv-3,222
User_sv-2,704
User_lfn-1,8
User_lfn-3,8
User_maple-4,2
User_maple-1,6
User_maple-2,5
User_maple-3,1
User_fr-qc-2,6
User_fr-qc-3,4
User_fr-qc-0,1
User_fr-qc-1,3
User_fr-qc-4,3
User_fr-qc-5,3
User_ain-N,3
User_ady-4,4
User_ady-1,3
User_python-4,89
User_ar-5,41
User_Shaw-1,1
User_python-1,314
User_python-2,274
User_python-3,185
User_ady-N,1
User_ain-1,7
User_ain-3,5
User_ain-2,2
User_uby-3,4
User_fr-qc-N,13
User_pcd-2,3
User_sh-4,24
User_sh-3,20
User_sh-2,28
User_sh-1,31
User_yo-N,5
User_en-us,3490
User_hak-1,28
User_hak-3,10
User_hak-2,5
User_hak-4,5
User_JCL-3,1
User_hak-N,12
User_hif-N,6
User_XUL-2,4
User_XUL-3,1
User_XUL-1,3
User_XUL-4,3
User_XUL-5,1
User_en-gb,2546
User_nds-nl,3
User_yo-4,1
User_yo-5,2
User_yo-2,2
User_yo-3,1
User_yo-1,2
User_sh-N,90
User_Hebr-1,25
User_enm-3,24
User_Hebr-3,19
User_Hebr-2,15
User_Hebr-5,41
User_Hebr-4,6
User_Lua-1,1
User_cy-3,20
User_es-spa-3,9
